cmd/tq	typecheck:	1
executor	paralleltest:	1
internal/executor	contextcheck:	1
internal/executor	cyclop:	3
internal/executor	err113:	40
internal/executor	forcetypeassert:	3
internal/executor	gochecknoglobals:	5
internal/executor	gocognit:	3
internal/executor	godox:	3
internal/executor	gosmopolitan:	4
internal/executor	ireturn:	1
internal/executor	makezero:	1
internal/executor	mnd:	31
internal/executor	modernize:	1
internal/executor	noctx:	10
internal/executor	nonamedreturns:	1
internal/executor	paralleltest:	50
internal/executor	prealloc:	1
internal/executor	predeclared:	1
internal/executor	unparam:	2
internal/executor	varnamelen:	18
internal/executor	wrapcheck:	4
internal/executor	wsl_v5:	8
internal/journal/cqrs	err113:	3
internal/journal/cqrs	paralleltest:	14
internal/journal	makezero:	1
internal/journal	paralleltest:	3
internal/journal	varnamelen:	1
internal/queue/cqrsqlite	cyclop:	1
internal/queue/cqrsqlite	err113:	3
internal/queue/cqrsqlite	errcheck:	6
internal/queue/cqrsqlite	gci:	1
internal/queue/cqrsqlite	gocognit:	4
internal/queue/cqrsqlite	gofumpt:	1
internal/queue/cqrsqlite	golines:	3
internal/queue/cqrsqlite	ineffassign:	5
internal/queue/cqrsqlite	noctx:	2
internal/queue/cqrsqlite	paralleltest:	43
internal/queue/cqrsqlite	sqlclosecheck:	2
internal/queue/cqrsqlite	staticcheck:	1
internal/queue/cqrsqlite	tagliatelle:	3
internal/queue/cqrsqlite	varnamelen:	18
internal/queue/cqrsqlite	wrapcheck:	32
internal/queue/cqrsqlite	wsl_v5:	11
internal/queue	interfacebloat:	1
internal/queue/postgres	gci:	1
internal/queue/postgresv4	cyclop:	1
internal/queue/postgresv4	err113:	3
internal/queue/postgresv4	errcheck:	9
internal/queue/postgresv4	exhaustive:	1
internal/queue/postgresv4	gci:	1
internal/queue/postgresv4	gocognit:	5
internal/queue/postgresv4	gofumpt:	1
internal/queue/postgresv4	golines:	1
internal/queue/postgresv4	inamedparam:	2
internal/queue/postgresv4	ineffassign:	10
internal/queue/postgresv4	mnd:	2
internal/queue/postgresv4	nestif:	1
internal/queue/postgresv4	nilerr:	1
internal/queue/postgresv4	paralleltest:	47
internal/queue/postgresv4	sqlclosecheck:	2
internal/queue/postgresv4	tagliatelle:	4
internal/queue/postgresv4	varnamelen:	20
internal/queue/postgresv4	wrapcheck:	36
internal/queue/postgresv4	wsl_v5:	14
internal/queue/sqlite	gochecknoglobals:	1
internal/queue/sqlitev4	cyclop:	1
internal/queue/sqlitev4	err113:	2
internal/queue/sqlitev4	errcheck:	9
internal/queue/sqlitev4	exhaustive:	1
internal/queue/sqlitev4	gci:	1
internal/queue/sqlitev4	gocognit:	5
internal/queue/sqlitev4	gofumpt:	1
internal/queue/sqlitev4	golines:	1
internal/queue/sqlitev4	inamedparam:	2
internal/queue/sqlitev4	ineffassign:	3
internal/queue/sqlitev4	nestif:	1
internal/queue/sqlitev4	nilerr:	1
internal/queue/sqlitev4	noctx:	2
internal/queue/sqlitev4	paralleltest:	50
internal/queue/sqlitev4	sqlclosecheck:	2
internal/queue/sqlitev4	tagliatelle:	4
internal/queue/sqlitev4	varnamelen:	20
internal/queue/sqlitev4	wrapcheck:	50
internal/queue/sqlitev4	wsl_v5:	12
internal/readmodel	gocognit:	1
internal/readmodel	paralleltest:	3
internal/task	exhaustive:	1
internal/task	gochecknoglobals:	1
internal/task	paralleltest:	5
internal/worker	err113:	7
internal/worker	gocognit:	1
internal/worker	gocritic:	1
internal/worker	godox:	1
internal/worker	mnd:	10
internal/worker	nestif:	1
internal/worker	paralleltest:	20
internal/worker	testableexamples:	1
internal/worker	varnamelen:	2
journal	paralleltest:	1
queue	paralleltest:	1
queue/postgres	paralleltest:	1
queue/sqlite	paralleltest:	2
root	containedctx:	1
root	contextcheck:	14
root	cyclop:	10
root	err113:	22
root	errcheck:	6
root	exhaustive:	9
root	forbidigo:	9
root	gci:	1
root	gochecknoglobals:	3
root	gocognit:	8
root	goconst:	4
root	gocritic:	5
root	gocyclo:	1
root	godoclint:	5
root	godox:	7
root	golines:	1
root	gosmopolitan:	2
root	govet:	4
root	ineffassign:	4
root	makezero:	7
root	mnd:	45
root	musttag:	1
root	nilerr:	3
root	nlreturn:	1
root	noctx:	31
root	nonamedreturns:	5
root	paralleltest:	50
root	prealloc:	3
root	predeclared:	2
root	recvcheck:	1
root	staticcheck:	1
root	tagliatelle:	10
root	thelper:	1
root	tparallel:	1
root	unparam:	8
root	unused:	1
root	varnamelen:	18
root	wastedassign:	1
root	wrapcheck:	2
root	wsl_v5:	10
task	godoclint:	1
task	paralleltest:	1
